id_staff,id_user,name_staff,position_staff,speciality,license_number,years_experience,id_service
163,411,Dr. Ines Meddeb,Dr.,Cardiovascular Nurse,LIC-10163,7,2
164,413,Samir Boughanmi,Resident,Dermatologist,LIC-10164,15,3
165,414,Ahmed Dridi,Resident,Ophthalmologist,LIC-10165,23,7
166,417,Dr. Rayen Oueslati,Dr.,Interventional Radiologist,LIC-10166,8,11
167,418,Dr. Mounir Khelifi,Dr.,Neurologist,LIC-10167,19,4
168,419,Lotfi Bouazizi,Intern,Cardiovascular Nurse,LIC-10168,0,2
169,422,Dr. Ali Belhaj,Dr.,Cosmetic Dermatologist,LIC-10169,34,3
170,423,Dr. Khaoula Belhaj,Dr.,Interventional Radiologist,LIC-10170,10,11
171,426,Sawsen Zouari,Nurse,Trauma Surgeon,LIC-10171,23,10
172,429,Amine Rahali,Technician,Interventional Radiologist,LIC-10172,17,11
173,432,Dr. Oussama Ghribi,Dr.,Radiation Oncologist,LIC-10173,10,1
174,433,Hedi Mzoughi,Resident,Thyroid Specialist,LIC-10174,31,8
175,435,Youssef Jebali,Resident,Family Medicine,LIC-10175,10,12
176,436,Dr. Hamza Hamrouni,Dr.,Cosmetic Dermatologist,LIC-10176,23,3
177,439,Hedi Boukadida,Resident,Thyroid Specialist,LIC-10177,27,8
178,441,Mourad Ben Mansour,Intern,Dermatopathologist,LIC-10178,1,3
179,447,Naima Turki,Technician,Thoracic Surgeon,LIC-10179,32,9
180,449,Dr. Meriam Zghal,Dr.,Ophthalmologist,LIC-10180,27,7
181,452,Dr. Cyrine Missaoui,Dr.,General Practitioner,LIC-10181,16,12
182,457,Dr. Hatem Ben Ali,Dr.,Surgical Oncologist,LIC-10182,31,1
183,465,Dr. Yasmine Boughdiri,Dr.,Surgical Oncologist,LIC-10183,24,1
184,466,Dr. Habib Meddeb,Dr.,Neonatologist,LIC-10184,10,5
185,468,Nadia Boughdiri,Resident,Neurologist,LIC-10185,15,4
186,469,Dr. Omar Kraiem,Dr.,Cardiac Surgeon,LIC-10186,25,2
187,471,Baya Trabelsi,Resident,Orthopedic Surgeon,LIC-10187,7,6
188,474,Dr. Elyès Chérif,Dr.,Thyroid Specialist,LIC-10188,11,8
189,477,Ahmed Mzoughi,Intern,Dermatologist,LIC-10189,1,3
190,478,Youssef Ben Ali,Resident,Dermatologist,LIC-10190,31,3
191,479,Mouna Ghannouchi,Nurse,Diabetologist,LIC-10191,22,8
192,482,Dr. Ridha Ben Mansour,Dr.,Pediatrician,LIC-10192,10,5
193,490,Dr. Rania Boughanmi,Dr.,Emergency Physician,LIC-10193,33,10
194,493,Anis Ben Ali,Resident,Glaucoma Specialist,LIC-10194,30,7
195,500,Makram Mansouri,Nurse,Critical Care Specialist,LIC-10195,20,10
196,501,Intissar Dridi,Resident,Cosmetic Dermatologist,LIC-10196,6,3
197,503,Dr. Cyrine Ben Youssef,Dr.,General Practitioner,LIC-10197,26,12
198,506,Dr. Imen Chaabane,Dr.,Ophthalmologist,LIC-10198,5,7
199,507,Khadija Chebbi,Technician,Rheumatologist,LIC-10199,26,6
200,509,Dr. Zied Khelifi,Dr.,Rheumatologist,LIC-10200,28,6
201,511,Dr. Wafa Rahali,Dr.,Cardiologist,LIC-10201,24,2
202,512,Zaineb Hachani,Intern,Radiation Oncologist,LIC-10202,2,1
203,514,Dr. Sana Zghal,Dr.,Cardiac Surgeon,LIC-10203,1,2
204,519,Ferida Boughdiri,Nurse,Clinical Neurophysiologist,LIC-10204,13,4
205,523,Dr. Ghofrane Hammami,Dr.,Pediatrician,LIC-10205,3,5
206,524,Hela Ben Mansour,Technician,Oncologist,LIC-10206,21,1
207,525,Dr. Salma Tlili,Dr.,Physiotherapist,LIC-10207,26,6
208,529,Emna Mejri,Intern,Glaucoma Specialist,LIC-10208,2,7
209,533,Dr. Yasmine Hamouda,Dr.,Physiotherapist,LIC-10209,33,6
210,536,Dr. Amira Saidi,Dr.,Hematologist,LIC-10210,31,1
211,539,Dr. Ibtissem Sellami,Dr.,Pediatrician,LIC-10211,10,5
212,541,Dr. Thouraya Chebbi,Dr.,Radiologist,LIC-10212,15,11
213,542,Dr. Rami Ghribi,Dr.,General Practitioner,LIC-10213,33,12
214,544,Khaled Brik,Intern,Endocrinologist,LIC-10214,2,8
215,551,Bassem Ben Salah,Resident,Hematologist,LIC-10215,16,1
216,558,Dr. Rami Labidi,Dr.,Dermatopathologist,LIC-10216,32,3
217,565,Dr. Amira Ghribi,Dr.,Cosmetic Dermatologist,LIC-10217,6,3
218,568,Mounir Sfar,Technician,Orthopedic Surgeon,LIC-10218,19,6
219,569,Anis Bouazizi,Nurse,Trauma Surgeon,LIC-10219,23,10
220,573,Dr. Salma Bouazizi,Dr.,Family Medicine,LIC-10220,17,12
221,578,Samia Nasri,Technician,Radiologist,LIC-10221,8,11
222,579,Dr. Hela Boukadida,Dr.,Physiotherapist,LIC-10222,26,6
223,581,Dr. Chokri Karray,Dr.,Diabetologist,LIC-10223,33,8
224,582,Imen Hamrouni,Intern,Electrophysiologist,LIC-10224,3,2
225,583,Dr. Mehdi Boughanmi,Dr.,Critical Care Specialist,LIC-10225,4,10
226,588,Dr. Bechir Ben Mansour,Dr.,Internal Medicine,LIC-10226,1,12
227,589,Dr. Maryem Karray,Dr.,Neonatologist,LIC-10227,11,5
228,590,Dr. Hela Haddad,Dr.,Neurosurgeon,LIC-10228,30,4
229,591,Elyès Maaloul,Intern,Diabetologist,LIC-10229,3,8
230,593,Dr. Amine Maaloul,Dr.,General Practitioner,LIC-10230,26,12
231,594,Dr. Sabah Jelassi,Dr.,Retinal Specialist,LIC-10231,5,7
232,595,Hedi Ferchichi,Technician,Clinical Neurophysiologist,LIC-10232,31,4
233,599,Sami Rahali,Technician,Radiation Oncologist,LIC-10233,31,1
234,602,Dr. Maryem Rezgui,Dr.,Rheumatologist,LIC-10234,3,6
235,605,Mourad Hachani,Resident,Surgical Oncologist,LIC-10235,28,1
236,606,Dr. Samia Souissi,Dr.,Neurologist,LIC-10236,28,4
237,609,Dr. Skander Nasri,Dr.,Cardiac Surgeon,LIC-10237,5,2
238,614,Dr. Rim Haddad,Dr.,Pediatric Surgeon,LIC-10238,29,5
239,616,Dr. Soumaya Nefzi,Dr.,Interventional Radiologist,LIC-10239,12,11
240,617,Rania Maaloul,Resident,Physiotherapist,LIC-10240,11,6
241,621,Wafa Mbarki,Resident,Diabetologist,LIC-10241,35,8
242,623,Dr. Khadija Ben Mansour,Dr.,Family Medicine,LIC-10242,23,12
243,627,Houssem Missaoui,Resident,Radiation Oncologist,LIC-10243,5,1
244,628,Dr. Baya Fakhfakh,Dr.,Rheumatologist,LIC-10244,21,6
245,629,Fatma Mzoughi,Technician,Cosmetic Dermatologist,LIC-10245,21,3
246,631,Sirine Ben Mansour,Resident,Pediatric Surgeon,LIC-10246,1,5
247,633,Dr. Latifa Sassi,Dr.,Interventional Radiologist,LIC-10247,7,11
248,635,Dr. Leila Souissi,Dr.,Glaucoma Specialist,LIC-10248,35,7
249,639,Habib Khelifi,Resident,Neurosurgeon,LIC-10249,14,4
250,640,Dr. Walid Zouari,Dr.,Physiotherapist,LIC-10250,2,6
251,643,Lobna Azaiez,Nurse,Pulmonologist,LIC-10251,32,9
252,653,Rayen Chebbi,Resident,Retinal Specialist,LIC-10252,23,7
253,659,Meriam Jelassi,Intern,Cardiac Surgeon,LIC-10253,3,2
254,660,Dr. Mondher Ben Salah,Dr.,Thoracic Surgeon,LIC-10254,11,9
255,661,Issam Jelassi,Resident,Pediatric Surgeon,LIC-10255,28,5
256,663,Dr. Ghofrane Oueslati,Dr.,Cardiologist,LIC-10256,6,2
257,664,Radhia Trabelsi,Resident,Electrophysiologist,LIC-10257,35,2
258,667,Amira Rezgui,Technician,Thoracic Surgeon,LIC-10258,3,9
259,668,Elyès Oueslati,Resident,Neurologist,LIC-10259,30,4
260,669,Dr. Makram Ben Youssef,Dr.,Neurosurgeon,LIC-10260,8,4
261,678,Mariem Ben Mansour,Technician,Glaucoma Specialist,LIC-10261,26,7
262,679,Dr. Fatma Ben Salah,Dr.,Respiratory Therapist,LIC-10262,18,9
263,682,Sawsen Nasri,Nurse,Glaucoma Specialist,LIC-10263,16,7
264,683,Fatma Azaiez,Resident,Oncologist,LIC-10264,2,1
265,686,Bilel Ben Mansour,Intern,Thoracic Surgeon,LIC-10265,2,9
266,691,Slim Khelifi,Resident,Clinical Neurophysiologist,LIC-10266,26,4
267,693,Walid Labidi,Resident,Hematologist,LIC-10267,9,1
268,694,Dr. Ghassen Ben Youssef,Dr.,Retinal Specialist,LIC-10268,34,7
269,695,Dr. Sana Jelassi,Dr.,Cardiac Surgeon,LIC-10269,33,2
270,696,Sirine Rezgui,Resident,Interventional Radiologist,LIC-10270,11,11
271,698,Dr. Asma Souissi,Dr.,Cardiologist,LIC-10271,28,2
272,705,Dr. Mohamed Rezgui,Dr.,Oncologist,LIC-10272,25,1
273,706,Dr. Ines Kraiem,Dr.,Thyroid Specialist,LIC-10273,23,8
274,707,Dr. Hana Bouzid,Dr.,Pediatrician,LIC-10274,35,5
275,709,Nesrine Brik,Resident,Pediatric Surgeon,LIC-10275,4,5
276,710,Dr. Skander Maaloul,Dr.,Radiologist,LIC-10276,7,11
277,712,Dr. Sami Chebbi,Dr.,Cardiac Surgeon,LIC-10277,19,2
278,716,Dr. Mehdi Azaiez,Dr.,Cardiologist,LIC-10278,32,2
279,721,Dr. Sara Boughdiri,Dr.,Ophthalmologist,LIC-10279,32,7
280,722,Dr. Ahmed Turki,Dr.,Thyroid Specialist,LIC-10280,5,8
281,725,Rami Zouari,Resident,Retinal Specialist,LIC-10281,29,7
282,726,Anis Mathlouthi,Nurse,Radiation Oncologist,LIC-10282,3,1
283,743,Sami Ferchichi,Intern,Thyroid Specialist,LIC-10283,0,8
284,747,Sana Nefzi,Nurse,Cardiac Surgeon,LIC-10284,2,2
285,751,Dr. Meriam Trabelsi,Dr.,Neurosurgeon,LIC-10285,8,4
286,754,Rami Trabelsi,Intern,Dermatologist,LIC-10286,0,3
287,755,Dr. Aziz Hamouda,Dr.,Neonatologist,LIC-10287,31,5
288,758,Walid Maaloul,Intern,Internal Medicine,LIC-10288,2,12
289,759,Raja Kraiem,Technician,Glaucoma Specialist,LIC-10289,26,7
290,762,Dr. Walid Nasri,Dr.,Clinical Neurophysiologist,LIC-10290,18,4
291,769,Nabil Sfar,Nurse,Dermatologist,LIC-10291,32,3
292,771,Houda Boughanmi,Technician,Glaucoma Specialist,LIC-10292,18,7
293,778,Dr. Hedi Labidi,Dr.,Trauma Surgeon,LIC-10293,28,10
294,780,Walid Missaoui,Intern,Rheumatologist,LIC-10294,0,6
295,784,Dr. Ridha Khelifi,Dr.,Respiratory Therapist,LIC-10295,27,9
296,785,Amel Belhaj,Intern,Ophthalmologist,LIC-10296,0,7
297,789,Hana Ghribi,Intern,Ophthalmologist,LIC-10297,2,7
298,793,Dr. Nesrine Bouazizi,Dr.,Interventional Radiologist,LIC-10298,24,11
299,795,Bilel Hachani,Intern,Cardiologist,LIC-10299,2,2
300,796,Houssem Ben Ali,Intern,Neurosurgeon,LIC-10300,2,4
301,799,Dr. Fares Bahri,Dr.,Retinal Specialist,LIC-10301,14,7
302,802,Dr. Cyrine Souissi,Dr.,Respiratory Therapist,LIC-10302,5,9
303,807,Hela Azaiez,Resident,Interventional Radiologist,LIC-10303,21,11
304,811,Dr. Hedi Mejri,Dr.,Hematologist,LIC-10304,32,1
305,812,Leila Rahali,Resident,Cardiologist,LIC-10305,29,2
306,813,Anis Belhaj,Intern,Trauma Surgeon,LIC-10306,1,10
307,816,Wissem Trabelsi,Nurse,Oncologist,LIC-10307,30,1
308,819,Amel Ghannouchi,Resident,Oncologist,LIC-10308,22,1
309,821,Dr. Radhia Trabelsi,Dr.,Endocrinologist,LIC-10309,27,8
310,824,Baya Tlili,Nurse,Physiotherapist,LIC-10310,26,6
311,831,Salma Bahri,Intern,Thyroid Specialist,LIC-10311,0,8
312,833,Zohra Tlili,Technician,Thyroid Specialist,LIC-10312,8,8
313,840,Dr. Sara Labidi,Dr.,Radiation Oncologist,LIC-10313,4,1
314,843,Dr. Fatma Ghannouchi,Dr.,Rheumatologist,LIC-10314,28,6
315,845,Dr. Olfa Khelifi,Dr.,Clinical Neurophysiologist,LIC-10315,24,4
316,848,Dr. Meriam Ben Ali,Dr.,Pediatrician,LIC-10316,8,5
317,851,Dr. Omar Tlili,Dr.,Neonatologist,LIC-10317,25,5
318,855,Dr. Rim Hamouda,Dr.,Dermatopathologist,LIC-10318,30,3
319,857,Sami Ghannouchi,Intern,Dermatopathologist,LIC-10319,3,3
320,858,Dr. Ghassen Ayari,Dr.,Thoracic Surgeon,LIC-10320,16,9
321,860,Hela Lassoued,Technician,Neonatologist,LIC-10321,31,5
322,866,Olfa Maaloul,Nurse,Pediatric Surgeon,LIC-10322,6,5
323,869,Dr. Lotfi Bahri,Dr.,Nuclear Medicine Specialist,LIC-10323,14,11
324,870,Dr. Khadija Bouazizi,Dr.,Endocrinologist,LIC-10324,14,8
325,871,Dr. Fatma Fakhfakh,Dr.,Diabetologist,LIC-10325,13,8
326,877,Faten Sfar,Intern,Clinical Neurophysiologist,LIC-10326,2,4
327,879,Ferida Tlili,Technician,Radiologist,LIC-10327,33,11
328,880,Dr. Amira Boughdiri,Dr.,Neurosurgeon,LIC-10328,25,4
329,881,Dr. Latifa Sellami,Dr.,Ophthalmologist,LIC-10329,5,7
330,882,Dr. Skander Jelassi,Dr.,Interventional Radiologist,LIC-10330,7,11
331,884,Dr. Bilel Chebbi,Dr.,General Practitioner,LIC-10331,16,12
332,889,Ahmed Azaiez,Technician,Cosmetic Dermatologist,LIC-10332,2,3
333,894,Adel Fakhfakh,Technician,Physiotherapist,LIC-10333,8,6
334,906,Nadia Maaloul,Intern,Ophthalmologist,LIC-10334,1,7
335,909,Zohra Saidi,Resident,Respiratory Therapist,LIC-10335,4,9
336,910,Ridha Rahali,Intern,Cardiologist,LIC-10336,3,2
337,912,Dr. Baya Jelassi,Dr.,Pediatrician,LIC-10337,26,5
338,913,Nizar Belhaj,Nurse,Thoracic Surgeon,LIC-10338,32,9
339,919,Dr. Khaled Jelassi,Dr.,Radiologist,LIC-10339,16,11
340,922,Dr. Sami Dridi,Dr.,Oncologist,LIC-10340,18,1
341,930,Dr. Tarek Bouazizi,Dr.,Pediatrician,LIC-10341,26,5
342,932,Dr. Nabil Haddad,Dr.,Clinical Neurophysiologist,LIC-10342,18,4
343,933,Dr. Faten Souissi,Dr.,Neurosurgeon,LIC-10343,19,4
344,934,Oussama Belhaj,Nurse,General Practitioner,LIC-10344,7,12
